                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.4764,                 4.3259,                 2.5136,                      0,                      0,                      0,                      0,                      0,                 50.594,                      0,              1.429e-05,              1.429e-05,              1.429e-05
                      2,                 3.2907,                 3.8273,                 2.2531,                      0,                      0,                      0,                      0,                      0,                 51.151,                      0,             4.1455e-05,             4.1455e-05,             4.1455e-05
                      3,                 3.0644,                  3.876,                 2.2528,                      0,                      0,                      0,                      0,                      0,                 52.449,                      0,             6.6734e-05,             6.6734e-05,             6.6734e-05
                      4,                 2.8131,                 3.6741,                 2.0598,                      0,                      0,                      0,                      0,                      0,                  54.43,                      0,             9.0127e-05,             9.0127e-05,             9.0127e-05
                      5,                 2.4976,                 3.4838,                 1.9794,                      0,                      0,                      0,                      0,                      0,                 55.987,                      0,             0.00011163,             0.00011163,             0.00011163
                      6,                 2.1116,                 3.0769,                 1.6919,                      0,                      0,                      0,                      0,                      0,                  58.76,                      0,             0.00013125,             0.00013125,             0.00013125
                      7,                  2.115,                  3.044,                 1.7225,                      0,                      0,                      0,                      0,                      0,                 63.732,                      0,             0.00014899,             0.00014899,             0.00014899
                      8,                 2.0812,                 2.7958,                 1.7569,                      0,                      0,                      0,                      0,                      0,                  71.34,                      0,             0.00016484,             0.00016484,             0.00016484
                      9,                 1.8188,                 2.2942,                  1.495,                      0,                      0,                      0,                      0,                      0,                 80.256,                      0,              0.0001788,              0.0001788,              0.0001788
                     10,                 1.8235,                 2.2432,                 1.5501,                      0,                      0,                      0,                      0,                      0,                 91.543,                      0,             0.00019087,             0.00019087,             0.00019087
                     11,                  1.719,                 2.0147,                 1.3847,                      0,                      0,                      0,                      0,                      0,                 109.49,                      0,             0.00020106,             0.00020106,             0.00020106
                     12,                 1.5781,                 1.8953,                 1.4432,                      0,                      0,                      0,                      0,                      0,                 109.49,                      0,             0.00020936,             0.00020936,             0.00020936
                     13,                 1.7447,                 1.8297,                 1.3666,                      0,                      0,                      0,                      0,                      0,                 122.25,                      0,             0.00021578,             0.00021578,             0.00021578
                     14,                 1.4576,                 1.9088,                 1.3514,                      0,                      0,                      0,                      0,                      0,                 120.38,                      0,             0.00022031,             0.00022031,             0.00022031
                     15,                 1.4814,                 1.5793,                 1.3916,                      0,                      0,                      0,                      0,                      0,                 120.38,                      0,             0.00022295,             0.00022295,             0.00022295
                     16,                 1.4848,                  1.544,                 1.3383,                      0,                      0,                      0,                      0,                      0,                 121.23,                      0,             0.00022371,             0.00022371,             0.00022371
                     17,                 1.4933,                 1.5088,                 1.4633,                      0,                      0,                      0,                      0,                      0,                 135.09,                      0,             0.00022258,             0.00022258,             0.00022258
                     18,                 1.3485,                  1.295,                 1.4436,                      0,                      0,                      0,                      0,                      0,                 135.09,                      0,             0.00021957,             0.00021957,             0.00021957
                     19,                 1.3459,                 1.3303,                 1.4312,                      0,                      0,                      0,                      0,                      0,                 160.77,                      0,             0.00021466,             0.00021466,             0.00021466
                     20,                  1.243,                 1.1975,                 1.3747,                      0,                      0,                      0,                      0,                      0,                 160.77,                      0,             0.00020788,             0.00020788,             0.00020788
                     21,                  1.214,                 1.2123,                   1.53,                      0,                      0,                      0,                      0,                      0,                 183.59,                      0,              0.0001992,              0.0001992,              0.0001992
                     22,                 1.1609,                 1.2177,                 1.5609,                      0,                      0,                      0,                      0,                      0,                 183.59,                      0,             0.00018864,             0.00018864,             0.00018864
                     23,                 1.1992,                 1.2418,                 1.5839,                      0,                      0,                      0,                      0,                      0,                 198.21,                      0,              0.0001762,              0.0001762,              0.0001762
